# energy(eV) alpha
2.704800000000000093e+00 1.052586474796807015e+05
2.721200000000000063e+00 1.042546429020999931e+05
2.737600000000000033e+00 1.022793893670632824e+05
2.754000000000000004e+00 9.977064509668329265e+04
2.770399999999999974e+00 9.724445799061463913e+04
2.786799999999999944e+00 9.516551166777429171e+04
2.803199999999999914e+00 9.389780124149534095e+04
2.819599999999999884e+00 9.367674270723950758e+04
2.835900000000000087e+00 9.462178851756732911e+04
2.852300000000000058e+00 9.676411468620208325e+04
2.868700000000000028e+00 1.000536211543344980e+05
2.885099999999999998e+00 1.043741975276618032e+05
2.901499999999999968e+00 1.095791995729945047e+05
2.917899999999999938e+00 1.155063805318684463e+05
2.934299999999999908e+00 1.220255203264458105e+05
2.950699999999999878e+00 1.290508734207041125e+05
2.967099999999999849e+00 1.365217415221291303e+05
2.983499999999999819e+00 1.443594434419008030e+05
2.999899999999999789e+00 1.524093381814218301e+05
3.016300000000000203e+00 1.603610328770898341e+05
3.032700000000000173e+00 1.677685533285925630e+05
3.049100000000000144e+00 1.741222495094235928e+05
3.065399999999999903e+00 1.789438711133455799e+05
3.081799999999999873e+00 1.819741311097369471e+05
3.098199999999999843e+00 1.832146134312362701e+05
3.114599999999999813e+00 1.829733169785197824e+05
3.130999999999999783e+00 1.817817216808594530e+05
3.147400000000000198e+00 1.802782551068070752e+05
3.163800000000000168e+00 1.790809224034929357e+05
3.180200000000000138e+00 1.787110582927230280e+05
3.196600000000000108e+00 1.795740741502521851e+05
3.213000000000000078e+00 1.819481423867981939e+05
3.229400000000000048e+00 1.859831834440634120e+05
3.245800000000000018e+00 1.916844611763653520e+05
3.262199999999999989e+00 1.988853103620184120e+05
3.278500000000000192e+00 2.072547744763919618e+05
3.294900000000000162e+00 2.163435631688529684e+05
3.311300000000000132e+00 2.256273420348237269e+05
3.327700000000000102e+00 2.345879387598916364e+05
3.344100000000000072e+00 2.428149360353467346e+05
3.360500000000000043e+00 2.500294728192885814e+05
3.376900000000000013e+00 2.561302506844048330e+05
3.393299999999999983e+00 2.611866959159478138e+05
3.409699999999999953e+00 2.654040361330953892e+05
3.426099999999999923e+00 2.690777749412926496e+05
3.442499999999999893e+00 2.725164664138256921e+05
3.458899999999999864e+00 2.759528496448960504e+05
3.475299999999999834e+00 2.795022349648821983e+05
3.491699999999999804e+00 2.831567680741865770e+05
3.508000000000000007e+00 2.867917525236363872e+05
3.524399999999999977e+00 2.902521900932922144e+05
3.540799999999999947e+00 2.933777695036024670e+05
3.557199999999999918e+00 2.960434183568772860e+05
3.573599999999999888e+00 2.981495826626893831e+05
3.589999999999999858e+00 2.996385118546875310e+05
3.606399999999999828e+00 3.004727991929640411e+05
3.622799999999999798e+00 3.006086545103059034e+05
3.639200000000000212e+00 3.000245281372648315e+05
3.655600000000000183e+00 2.986998074469618150e+05
3.672000000000000153e+00 2.966734966326933354e+05
3.688400000000000123e+00 2.940163862527998281e+05
3.704800000000000093e+00 2.908800499054624815e+05
3.721200000000000063e+00 2.874687272890328895e+05
3.737499999999999822e+00 2.840125675640658010e+05
3.753899999999999793e+00 2.807923325783189503e+05
3.770300000000000207e+00 2.779996468702625134e+05
3.786700000000000177e+00 2.757873151001489605e+05
3.803100000000000147e+00 2.742100903094267123e+05
3.819500000000000117e+00 2.732320660661829170e+05
3.835900000000000087e+00 2.727267017521169619e+05
3.852300000000000058e+00 2.725073290254794410e+05
3.868700000000000028e+00 2.723599112234501517e+05
3.885099999999999998e+00 2.720568278268646100e+05
3.901499999999999968e+00 2.714277757206156966e+05
3.917899999999999938e+00 2.703862332925794180e+05
3.934299999999999908e+00 2.689421994521776796e+05
3.950699999999999878e+00 2.672192992795351311e+05
3.967000000000000082e+00 2.654387399124237127e+05
3.983400000000000052e+00 2.638577888720237534e+05
3.999800000000000022e+00 2.626704375296524959e+05
4.016200000000000436e+00 2.619901420087198785e+05
4.032600000000000406e+00 2.618120135130822018e+05
4.049000000000000377e+00 2.619953553612513933e+05
4.065400000000000347e+00 2.623703642624461791e+05
4.081800000000000317e+00 2.627375359677894157e+05
4.098200000000000287e+00 2.629276168326623156e+05
4.114600000000000257e+00 2.628400414200637024e+05
4.131000000000000227e+00 2.624427696753300843e+05
4.147400000000000198e+00 2.617906823054777051e+05
4.163800000000000168e+00 2.610160879152920097e+05
4.180200000000000138e+00 2.602695284027515445e+05
4.196500000000000341e+00 2.597499512355004845e+05
4.212900000000000311e+00 2.595900937289872672e+05
4.229300000000000281e+00 2.598315331422833551e+05
4.245700000000000252e+00 2.604379963507317298e+05
4.262100000000000222e+00 2.612718951422848331e+05
4.278500000000000192e+00 2.621655460660688695e+05
4.294900000000000162e+00 2.630129778282309999e+05
4.311300000000000132e+00 2.637470436541827512e+05
4.327700000000000102e+00 2.644017301804390154e+05
4.344100000000000072e+00 2.650630237863349612e+05
4.360500000000000043e+00 2.658332023504282697e+05
4.376900000000000013e+00 2.668064697065058281e+05
4.393299999999999983e+00 2.680218611950420309e+05
4.409600000000000186e+00 2.695313572620574851e+05
4.426000000000000156e+00 2.713751764872654458e+05
4.442400000000000126e+00 2.735747978178025223e+05
4.458800000000000097e+00 2.761666903601669474e+05
4.475200000000000067e+00 2.791235169729909394e+05
4.491600000000000037e+00 2.824124985295863007e+05
4.508000000000000007e+00 2.859310304841648322e+05
4.524399999999999977e+00 2.895801371713881381e+05
4.540799999999999947e+00 2.932794747785821673e+05
4.557199999999999918e+00 2.969676177634882042e+05
4.573599999999999888e+00 3.006267511167377816e+05
4.589999999999999858e+00 3.042396074086855515e+05
4.606399999999999828e+00 3.077762781288533006e+05
4.622799999999999798e+00 3.111780045036901720e+05
4.639100000000000001e+00 3.143262181143524940e+05
4.655499999999999972e+00 3.171262571538034244e+05
4.671899999999999942e+00 3.194829972200443735e+05
4.688299999999999912e+00 3.213340790205537924e+05
4.704699999999999882e+00 3.226538039271425805e+05
4.721099999999999852e+00 3.234699154791380861e+05
4.737499999999999822e+00 3.238621629220079049e+05
4.753899999999999793e+00 3.239103834150728653e+05
4.770299999999999763e+00 3.237336262317830697e+05
4.786699999999999733e+00 3.234130488504585228e+05
4.803099999999999703e+00 3.230401641855510534e+05
4.819499999999999673e+00 3.226597242695491295e+05
4.835899999999999643e+00 3.223140500060515478e+05
4.852299999999999613e+00 3.220425128182412591e+05
4.868599999999999817e+00 3.219002090565908584e+05
4.884999999999999787e+00 3.219950281765081454e+05
4.901399999999999757e+00 3.224229276804928086e+05
4.917799999999999727e+00 3.233009788984111510e+05
4.934199999999999697e+00 3.247276241946971277e+05
4.950599999999999667e+00 3.267649142863795278e+05
4.966999999999999638e+00 3.294091765182698728e+05
4.983399999999999608e+00 3.326190052955494612e+05
4.999799999999999578e+00 3.362197096801584121e+05
5.016200000000000436e+00 3.400075841571255005e+05
5.032600000000000406e+00 3.437499477424324141e+05
5.049000000000000377e+00 3.471902475813536439e+05
5.065400000000000347e+00 3.501529603680738364e+05
5.081800000000000317e+00 3.524943082835913519e+05
5.098099999999999632e+00 3.541697627353046555e+05
5.114499999999999602e+00 3.551983748675268725e+05
5.130899999999999572e+00 3.556410878775492893e+05
5.147300000000000431e+00 3.555498577923812554e+05
5.163700000000000401e+00 3.549927106848260737e+05
5.180100000000000371e+00 3.540331493480692734e+05
5.196500000000000341e+00 3.527039353583496995e+05
5.212900000000000311e+00 3.510246821527704597e+05
5.229300000000000281e+00 3.489986605804738938e+05
5.245700000000000252e+00 3.466689399064206518e+05
5.262100000000000222e+00 3.440671390671042609e+05
5.278500000000000192e+00 3.412941308146153460e+05
5.294900000000000162e+00 3.384406317446361645e+05
5.311300000000000132e+00 3.355709047414189554e+05
5.327600000000000335e+00 3.327599099972285912e+05
5.344000000000000306e+00 3.300485309213830042e+05
5.360400000000000276e+00 3.274622185062311473e+05
5.376800000000000246e+00 3.249975226697115577e+05
5.393200000000000216e+00 3.225896260897039319e+05
5.409600000000000186e+00 3.202448397255094023e+05
5.426000000000000156e+00 3.178775117412672262e+05
5.442400000000000126e+00 3.154409039589526365e+05
5.458800000000000097e+00 3.128822629955134471e+05
5.475200000000000067e+00 3.102353865428823628e+05
5.491600000000000037e+00 3.075329497843677527e+05
5.508000000000000007e+00 3.048502546575615997e+05
5.524399999999999977e+00 3.023381510372174089e+05
5.540700000000000180e+00 3.001060412256427808e+05
5.557100000000000151e+00 2.982824711012729094e+05
5.573500000000000121e+00 2.969383184789842344e+05
5.589900000000000091e+00 2.961390222132382914e+05
5.606300000000000061e+00 2.958858797805751092e+05
5.622700000000000031e+00 2.961596631750562810e+05
5.639100000000000001e+00 2.968797619692977169e+05
5.655499999999999972e+00 2.979539581228634925e+05
5.671899999999999942e+00 2.992808898139788653e+05
5.688299999999999912e+00 3.007269552285753307e+05
5.704699999999999882e+00 3.022031291551126051e+05
5.721099999999999852e+00 3.035731200266043306e+05
5.737499999999999822e+00 3.047829159060670063e+05
5.753899999999999793e+00 3.057567437236213009e+05
5.770199999999999996e+00 3.064743087180400034e+05
5.786599999999999966e+00 3.069167628638031892e+05
5.802999999999999936e+00 3.071581417395041790e+05
5.819399999999999906e+00 3.072208978698743740e+05
5.835799999999999876e+00 3.071776203790133004e+05
5.852199999999999847e+00 3.070780139494329342e+05
5.868599999999999817e+00 3.069784102734143380e+05
5.884999999999999787e+00 3.069066236091553583e+05
5.901399999999999757e+00 3.069055686925696209e+05
5.917799999999999727e+00 3.069783806592478068e+05
5.934199999999999697e+00 3.072132947222648654e+05
5.950599999999999667e+00 3.076166344340586220e+05
5.966999999999999638e+00 3.082945404199563782e+05
5.983399999999999608e+00 3.092985801570272888e+05
5.999699999999999811e+00 3.107007754250724684e+05
6.016099999999999781e+00 3.125911882369821542e+05
6.032499999999999751e+00 3.149793942554352689e+05
6.048899999999999721e+00 3.179063392059772741e+05
6.065299999999999692e+00 3.213433535130771925e+05
6.081699999999999662e+00 3.252860624457760132e+05
6.098099999999999632e+00 3.296606798181408085e+05
6.114499999999999602e+00 3.344232521767099388e+05
6.130899999999999572e+00 3.394842198057866190e+05
